TIME,SCATS,DAY,N,E,S,W,COUNT
900,2000,1,1,0,0,0,281
930,2000,1,1,0,0,0,260
945,2000,1,1,0,0,0,240
1000,2000,1,1,0,0,0,222
1015,2000,1,1,0,0,0,202
1100,2000,1,1,0,0,0,201
1115,2000,1,1,0,0,0,186
1130,2000,1,1,0,0,0,205
1145,2000,1,1,0,0,0,206
1200,2000,1,1,0,0,0,200
1230,2000,1,1,0,0,0,189
1245,2000,1,1,0,0,0,186
1300,2000,1,1,0,0,0,167
900,2000,1,1,0,0,0,268
915,2000,1,1,0,0,0,254
930,2000,1,1,0,0,0,254
945,2000,1,1,0,0,0,268
1015,2000,1,1,0,0,0,225
1030,2000,1,1,0,0,0,240
1045,2000,1,1,0,0,0,193
1100,2000,1,1,0,0,0,190
1115,2000,1,1,0,0,0,195
1130,2000,1,1,0,0,0,220
1145,2000,1,1,0,0,0,211
1215,2000,1,1,0,0,0,213
1230,2000,1,1,0,0,0,199
1245,2000,1,1,0,0,0,191
1300,2000,1,1,0,0,0,205
900,2000,1,1,0,0,0,258
1000,2000,1,1,0,0,0,202
1015,2000,1,1,0,0,0,208
1030,2000,1,1,0,0,0,220
1045,2000,1,1,0,0,0,193
1100,2000,1,1,0,0,0,174
1145,2000,1,1,0,0,0,203
1215,2000,1,1,0,0,0,212
1230,2000,1,1,0,0,0,196
1245,2000,1,1,0,0,0,210
900,2000,1,1,0,0,0,309
915,2000,1,1,0,0,0,218
930,2000,1,1,0,0,0,259
945,2000,1,1,0,0,0,236
1000,2000,1,1,0,0,0,193
1015,2000,1,1,0,0,0,238
1030,2000,1,1,0,0,0,205
1045,2000,1,1,0,0,0,203
1100,2000,1,1,0,0,0,207
1115,2000,1,1,0,0,0,234
1130,2000,1,1,0,0,0,224
1145,2000,1,1,0,0,0,217
1215,2000,1,1,0,0,0,218
1230,2000,1,1,0,0,0,226
1245,2000,1,1,0,0,0,191
1300,2000,1,1,0,0,0,212
900,2000,1,1,0,0,0,280
915,2000,1,1,0,0,0,241
930,2000,1,1,0,0,0,270
945,2000,1,1,0,0,0,250
1000,2000,1,1,0,0,0,208
1030,2000,1,1,0,0,0,224
1045,2000,1,1,0,0,0,203
1100,2000,1,1,0,0,0,187
1115,2000,1,1,0,0,0,212
1130,2000,1,1,0,0,0,208
1200,2000,1,1,0,0,0,185
1215,2000,1,1,0,0,0,163
1230,2000,1,1,0,0,0,220
1245,2000,1,1,0,0,0,193
1300,2000,1,1,0,0,0,199
